,Zipcode,Median_Income
0,90001,35660
1,90002,34000
2,90003,34397
3,90004,46581
4,90005,32461
5,90006,33790
6,90007,23070
7,90008,36641
8,90010,47115
9,90011,33824
10,90012,38786
11,90013,22808
12,90014,37619
13,90015,32979
14,90016,43443
15,90017,28638
16,90018,37341
17,90019,50671
18,90020,42407
19,90021,12864
20,90023,40225
21,90024,59418
22,90025,78713
23,90026,54342
24,90027,58344
25,90028,40068
26,90029,37379
27,90031,41126
28,90032,47370
29,90033,31683
30,90034,65572
31,90035,76677
32,90036,74279
33,90037,31045
34,90038,36996
35,90039,81394
36,90041,73250
37,90042,55596
38,90043,41812
39,90044,32278
40,90045,90399
41,90046,65990
42,90047,42551
43,90048,85396
44,90049,121671
45,90056,84438
46,90057,31337
47,90058,16425
48,90059,37653
49,90061,37126
50,90062,40018
51,90063,44121
52,90064,92194
53,90065,58405
54,90066,75209
55,90067,123889
56,90068,82718
57,90069,86403
58,90077,184722
59,90094,136250
60,90210,149732
61,90211,71402
62,90212,103032
63,90230,79242
64,90232,82254
65,90245,92942
66,90247,46076
67,90248,58703
68,90262,45897
69,90265,137672
70,90272,180962
71,90275,124384
72,90280,47281
73,90290,103553
74,90291,88078
75,90292,103948
76,90293,100042
77,90301,42100
78,90302,43788
79,90304,41054
80,90305,68760
81,90402,140179
82,90403,92096
83,90404,73601
84,90405,88445
85,90501,64995
86,90502,68676
87,90504,79352
88,90710,57968
89,90717,61077
90,90731,49464
91,90732,89440
92,90744,43284
93,90745,73053
94,90802,51302
95,90810,56061
96,90813,34257
97,91030,92847
98,91040,77910
99,91042,53412
100,91105,112765
101,91201,56580
102,91202,66657
103,91204,44304
104,91205,38730
105,91206,57379
106,91208,105000
107,91214,94322
108,91302,122967
109,91303,51486
110,91304,64367
111,91306,64772
112,91307,111043
113,91311,82738
114,91316,68720
115,91321,66178
116,91324,68477
117,91325,65129
118,91326,105611
119,91331,57353
120,91335,55580
121,91340,54703
122,91342,68600
123,91343,61692
124,91344,86460
125,91345,74193
126,91352,52171
127,91356,71654
128,91364,100323
129,91367,84937
130,91401,51784
131,91402,41669
132,91403,89552
133,91405,41283
134,91406,51564
135,91411,50332
136,91423,82554
137,91436,159965
138,91501,64006
139,91504,73501
140,91505,82630
141,91506,72681
142,91601,50832
143,91602,78526
144,91604,99745
145,91605,43004
146,91606,44773
147,91607,60772
148,91801,53644
149,91803,61424
