RegionID,RegionName,StateName,SizeRank,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,Avg Median Housing Price
96015,90034,California,66,1001EB67:EN67600,990400,1032800,1180700,1287000,1335000,1200300,1208000,1154800,1224300,1160700,1173800,1246800,1182883.333
96025,90044,California,77,423700,412800,430000,434300,447400,436000,434900,421800,410600,412600,425100,465500,466300,432384.6154
96007,90026,California,92,951800,937900,906100,864700,812500,861200,896900,966400,948800,1033100,1003200,1015900,905000,931038.4615
96047,90066,California,124,1219100,1181100,1156300,1193100,1278000,1360200,1351500,1326200,1304800,1358100,1457100,1474700,1527000,1322092.308
96000,90019,California,167,1131600,1061100,991900,955400,941300,921300,987400,1090500,1106300,1043200,971600,1028100,1103500,1025630.769
96125,90280,California,185,432300,435200,445200,447300,450400,450200,453600,441600,441400,438400,439400,449700,467400,445546.1538
96368,91342,California,206,500000,499900,496900,494100,500700,505600,510000,507300,518600,536700,540500,532000,534900,513630.7692
96006,90025,California,229,900000,942300,947300,905700,888100,881500,907800,941100,946000,947100,930600,987800,1005300,933123.0769
96364,91335,California,266,540000,550500,562100,558000,525600,509600,513800,537500,548600,551000,550900,546800,537000,540876.9231
96531,91801,California,523,601400,608800,620000,610600,587000,610100,630600,648000,661200,676800,667400,621200,628000,628546.1538
96361,91331,California,528,482100,492900,483700,468100,457500,456100,461200,465000,467200,485800,493600,501900,501300,478184.6154
96023,90042,California,541,736200,730100,689400,718500,700100,742400,730200,751500,767600,779400,783300,750800,721900,738569.2308
96411,91402,California,802,424200,439400,422400,424200,409300,399700,440200,454300,478100,479200,450800,432100,410500,435723.0769
96415,91406,California,859,568300,543900,525000,551900,589000,608600,601000,590800,586900,581000,584900,614200,627600,582546.1538
96414,91405,California,947,527300,565200,567100,541800,509700,470300,506600,497800,537000,502300,527500,508400,526300,522100
96028,90047,California,1054,475400,488100,485300,469900,445800,443700,454500,473400,492600,495500,499400,494000,501100,478361.5385
96369,91343,California,1062,585900,570700,572300,553600,555000,552500,555000,562500,569800,589400,602800,599700,596600,574292.3077
96104,90247,California,1063,524700,513800,561600,560100,587100,535800,528900,510900,537400,551300,537300,495100,496900,533915.3846
95984,90003,California,1065,362200,374000,384400,387600,391000,388700,383100,393200,416200,436300,430800,409900,401300,396823.0769
95997,90016,California,1089,713000,706500,680100,689000,743700,771200,750200,686800,705200,724300,739300,735700,765600,723892.3077
95999,90018,California,1106,680900,687600,732800,744800,717100,690600,692700,710500,709300,829900,830500,849100,752800,740661.5385
96024,90043,California,1110,646300,626100,604200,629700,636700,667200,680000,660800,649100,678200,698300,689400,672200,656784.6154
96339,91304,California,1126,633100,611800,616300,595700,592300,585500,603100,607600,612900,616000,646200,659900,674400,619600
96003,90022,California,1156,441300,416700,426800,415600,440600,406000,435400,429000,471400,459100,443000,427800,430600,434100
96026,90045,California,1167,1154100,1208300,1156300,1234700,1283300,1264400,1164600,1049700,1080600,1123900,1134500,1145600,1105400,1161953.846
96370,91344,California,1220,638700,652800,659400,677600,650300,649000,633700,645200,653700,652900,664900,655800,656900,653146.1538
96122,90275,California,1437,1155200,1211400,1222100,1214700,1161100,1170500,1181300,1272700,1217500,1224800,1184500,1154700,1157700,1194476.923
96450,91605,California,1443,562700,562000,569700,572700,601200,592500,587100,568500,577700,579000,581400,586500,582300,578715.3846
96229,90745,California,1468,516700,487900,488200,481100,507100,512900,523900,525900,529700,521500,522700,502400,483900,507992.3077
96046,90065,California,1630,862800,874400,854000,840100,821300,818600,814200,788400,855700,,,,,836611.1111
