OBJECTID,CITY,ZIPCODE,ZIP,TOOLTIP,NLA_URL,AnalysisArea
1,IN,90001,90001,Zip Code: 90001,n,0.92839597
2,IN,90002,90002,Zip Code: 90002,n,2.04526634
3,IN,90003,90003,Zip Code: 90003,n,3.68171497
4,IN,90004,90004,Zip Code: 90004,n,3.01160883
5,IN,90005,90005,Zip Code: 90005,n,1.32354665
6,IN,90006,90006,Zip Code: 90006,n,1.92651869
7,IN,90007,90007,Zip Code: 90007,n,2.46040681
8,IN,90008,90008,Zip Code: 90008,n,2.65611103
9,IN,90010,90010,Zip Code: 90010,n,0.16296525
10,IN,90011,90011,Zip Code: 90011,n,4.26041197
11,IN,90012,90012,Zip Code: 90012,n,3.54978295
12,IN,90013,90013,Zip Code: 90013,n,0.60516357
13,IN,90014,90014,Zip Code: 90014,n,0.28400455
14,IN,90015,90015,Zip Code: 90015,n,1.6716507
15,IN,90016,90016,Zip Code: 90016,n,3.66178282
16,IN,90017,90017,Zip Code: 90017,n,0.71049972
17,IN,90018,90018,Zip Code: 90018,n,2.97812114
18,IN,90019,90019,Zip Code: 90019,n,3.82947464
19,IN,90020,90020,Zip Code: 90020,n,1.1823588
20,IN,90021,90021,Zip Code: 90021,n,2.05832288
21,IN,90023,90023,Zip Code: 90023,n,2.7864505
22,IN,90024,90024,Zip Code: 90024,n,2.88701004
23,IN,90025,90025,Zip Code: 90025,n,2.41386368
24,IN,90026,90026,Zip Code: 90026,n,4.09185352
25,IN,90027,90027,Zip Code: 90027,n,8.63250462
26,IN,90028,90028,Zip Code: 90028,n,1.5502577
27,IN,90029,90029,Zip Code: 90029,n,1.42838114
28,IN,90031,90031,Zip Code: 90031,n,3.81088952
29,IN,90032,90032,Zip Code: 90032,n,4.93505768
30,IN,90033,90033,Zip Code: 90033,n,3.05275179
31,IN,90034,90034,Zip Code: 90034,n,3.09634768
32,IN,90035,90035,Zip Code: 90035,n,2.04672097
33,IN,90036,90036,Zip Code: 90036,n,2.49535597
34,IN,90037,90037,Zip Code: 90037,n,2.92095481
35,IN,90038,90038,Zip Code: 90038,n,1.50294055
36,IN,90039,90039,Zip Code: 90039,n,4.0283279
37,IN,90041,90041,Zip Code: 90041,n,3.52648891
38,IN,90042,90042,Zip Code: 90042,n,4.50955642
39,IN,90043,90043,Zip Code: 90043,n,2.80066397
40,IN,90044,90044,Zip Code: 90044,n,3.51887559
41,IN,90045,90045,Zip Code: 90045,n,10.76841331
42,IN,90046,90046,Zip Code: 90046,n,4.91571276
43,IN,90047,90047,Zip Code: 90047,n,3.15751789
44,IN,90048,90048,Zip Code: 90048,n,1.55546886
45,IN,90049,90049,Zip Code: 90049,n,15.1012372
46,IN,90056,90056,Zip Code: 90056,n,0.08770159
47,IN,90057,90057,Zip Code: 90057,n,0.92937808
48,IN,90058,90058,Zip Code: 90058,n,0.74320301
49,IN,90059,90059,Zip Code: 90059,n,1.54861003
50,IN,90061,90061,Zip Code: 90061,n,1.27467435
51,IN,90062,90062,Zip Code: 90062,n,1.88476571
52,IN,90063,90063,Zip Code: 90063,n,0.77962231
53,IN,90064,90064,Zip Code: 90064,n,3.96004814
54,IN,90065,90065,Zip Code: 90065,n,5.21051787
55,IN,90066,90066,Zip Code: 90066,n,4.50814387
56,IN,90067,90067,Zip Code: 90067,n,0.36001587
57,IN,90068,90068,Zip Code: 90068,n,7.35065723
58,IN,90069,90069,Zip Code: 90069,n,1.30783829
59,IN,90071,90071,Zip Code: 90071,n,0.14494317
60,IN,90073,90073,Zip Code: 90073,n,0.05182199
61,IN,90077,90077,Zip Code: 90077,n,7.23647633
62,IN,90089,90089,Zip Code: 90089,n,0.25786329
63,IN,90094,90094,Zip Code: 90094,n,1.20432545
64,IN,90095,90095,Zip Code: 90095,n,0.32469432
65,IN,90210,90210,Zip Code: 90210,n,6.56150425
66,IN,90211,90211,Zip Code: 90211,n,0.00160701
67,IN,90212,90212,Zip Code: 90212,n,0.00349969
68,IN,90230,90230,Zip Code: 90230,n,0.98288362
69,IN,90232,90232,Zip Code: 90232,n,0.11901479
70,IN,90245,90245,Zip Code: 90245,n,0.02613231
71,IN,90247,90247,Zip Code: 90247,n,0.99906565
72,IN,90248,90248,Zip Code: 90248,n,1.53000518
73,IN,90262,90262,Zip Code: 90262,n,0.00066285
74,IN,90265,90265,Zip Code: 90265,n,0.14921078
75,IN,90272,90272,Zip Code: 90272,n,24.30058248
76,IN,90275,90275,Zip Code: 90275,n,0.01048988
77,IN,90280,90280,Zip Code: 90280,n,0.00835727
78,IN,90290,90290,Zip Code: 90290,n,0.29894905
79,IN,90291,90291,Zip Code: 90291,n,2.31835343
80,IN,90292,90292,Zip Code: 90292,n,1.00723956
81,IN,90293,90293,Zip Code: 90293,n,1.85977676
82,IN,90301,90301,Zip Code: 90301,n,4.1e-07
83,IN,90302,90302,Zip Code: 90302,n,0.00746386
84,IN,90304,90304,Zip Code: 90304,n,0.00174444
85,IN,90305,90305,Zip Code: 90305,n,0.00597104
86,IN,90402,90402,Zip Code: 90402,n,0.45639773
87,IN,90403,90403,Zip Code: 90403,n,0.00380532
88,IN,90404,90404,Zip Code: 90404,n,0.007684
89,IN,90405,90405,Zip Code: 90405,n,0.1052225
90,IN,90501,90501,Zip Code: 90501,n,1.66089751
91,IN,90502,90502,Zip Code: 90502,n,0.5119226
92,IN,90504,90504,Zip Code: 90504,n,0.00015788
93,IN,90710,90710,Zip Code: 90710,n,2.07221556
94,IN,90717,90717,Zip Code: 90717,n,0.09967309
95,IN,90731,90731,Zip Code: 90731,n,12.62080585
96,IN,90732,90732,Zip Code: 90732,n,2.88872592
97,IN,90744,90744,Zip Code: 90744,n,8.33390144
98,IN,90745,90745,Zip Code: 90745,n,0.06345234
99,IN,90802,90802,Zip Code: 90802,n,0.03698995
100,IN,90810,90810,Zip Code: 90810,n,0.43042173
101,IN,90813,90813,Zip Code: 90813,n,0.0064527
102,IN,91030,91030,Zip Code: 91030,n,0.03041479
103,IN,91040,91040,Zip Code: 91040,n,11.51642398
104,IN,91042,91042,Zip Code: 91042,n,8.23697039
105,IN,91105,91105,Zip Code: 91105,n,0.01333039
106,IN,91201,91201,Zip Code: 91201,n,0.01318511
107,IN,91202,91202,Zip Code: 91202,n,0.00280084
108,IN,91204,91204,Zip Code: 91204,n,0.00412499
109,IN,91205,91205,Zip Code: 91205,n,0.31348205
110,IN,91206,91206,Zip Code: 91206,n,0.1060081
111,IN,91208,91208,Zip Code: 91208,n,6.5e-07
112,IN,91214,91214,Zip Code: 91214,n,1.0170406
113,IN,91302,91302,Zip Code: 91302,n,0.02364984
114,IN,91303,91303,Zip Code: 91303,n,2.13951735
115,IN,91304,91304,Zip Code: 91304,n,7.71946537
